Voter,Movie,Pick
Pedro Almodóvar,Amour,1
Pedro Almodóvar,Call Me by Your Name,2
Pedro Almodóvar,"Crouching Tiger, Hidden Dragon",3
Pedro Almodóvar,Dogtooth,4
Pedro Almodóvar,Ida,5
Pedro Almodóvar,La ciénaga,6
Pedro Almodóvar,Phantom Thread,7
Pedro Almodóvar,Roma,8
Pedro Almodóvar,Ten,9
Pedro Almodóvar,Toni Erdmann,10
Pamela Anderson,Amélie,1
Pamela Anderson,Blue Valentine,2
Pamela Anderson,Invisible Life,3
Pamela Anderson,Lost in Translation,4
Pamela Anderson,Requiem for a Dream,5
Pamela Anderson,The Grand Budapest Hotel,6
Pamela Anderson,The Lobster,7
Pamela Anderson,The Party,8
Pamela Anderson,Volver,9
Pamela Anderson,White God,10
Elizabeth Banks,Barbie,1
Elizabeth Banks,Bowling for Columbine,2
Elizabeth Banks,Inglourious Basterds,3
Elizabeth Banks,Moonlight,4
Elizabeth Banks,Mustang,5
Elizabeth Banks,No Country for Old Men,6
Elizabeth Banks,Parasite,7
Elizabeth Banks,Something's Gotta Give,8
Elizabeth Banks,The Departed,9
Elizabeth Banks,Toy Story 3,10
Mike Birbiglia,Children of Men,1
Mike Birbiglia,Frances Ha,2
Mike Birbiglia,Hot Fuzz,3
Mike Birbiglia,Idiocracy,4
Mike Birbiglia,Me and You and Everyone We Know,5
Mike Birbiglia,Sideways,6
Mike Birbiglia,Spotlight,7
Mike Birbiglia,Superbad,8
Mike Birbiglia,The Squid and the Whale,9
Mike Birbiglia,Up,10
Jason Blum,Boyhood,1
Jason Blum,Get Out,2
Jason Blum,Moneyball,3
Jason Blum,Moulin Rouge!,4
Jason Blum,Silver Linings Playbook,5
Jason Blum,Spotlight,6
Jason Blum,The Big Short,7
Jason Blum,The Wolf of Wall Street,8
Jason Blum,There Will Be Blood,9
Jason Blum,Whiplash,10
Bong Joon Ho,Asako I & II,1
Bong Joon Ho,Happy as Lazzaro,2
Bong Joon Ho,Mad Max: Fury Road,3
Bong Joon Ho,No Country for Old Men,4
Bong Joon Ho,Stranger by the Lake,5
Bong Joon Ho,The Day He Arrives,6
Bong Joon Ho,The Social Network,7
Bong Joon Ho,War of the Worlds,8
Bong Joon Ho,Zodiac,9
Danielle Brooks,Django Unchained,1
Danielle Brooks,Get Out,2
Danielle Brooks,Inglourious Basterds,3
Danielle Brooks,John Q,4
Danielle Brooks,Moonlight,5
Danielle Brooks,Parasite,6
Danielle Brooks,Sinners,7
Danielle Brooks,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8
Danielle Brooks,Whiplash,9
Mel Brooks,A Beautiful Mind,1
Mel Brooks,Bottle Shock,2
Mel Brooks,Hidden Figures,3
Mel Brooks,Inglourious Basterds,4
Mel Brooks,Jojo Rabbit,5
Mel Brooks,Midnight in Paris,6
Mel Brooks,The Bourne Identity,7
Mel Brooks,The Grand Budapest Hotel,8
Mel Brooks,The King's Speech,9
Mel Brooks,The Pianist,10
Toni Collette,City of God,1
Toni Collette,Cold War,2
Toni Collette,Eternal Sunshine of the Spotless Mind,3
Toni Collette,Lady Bird,4
Toni Collette,Melancholia,5
Toni Collette,Parasite,6
Toni Collette,Roma,7
Toni Collette,Sing Sing,8
Toni Collette,The Great Beauty,9
Toni Collette,The Intouchables,10
Sofia Coppola,Aftersun,1
Sofia Coppola,American Psycho,2
Sofia Coppola,Force Majeure,3
Sofia Coppola,Get Out,4
Sofia Coppola,In the Mood for Love,5
Sofia Coppola,Parasite,6
Sofia Coppola,Spirited Away,7
Sofia Coppola,The Incredibles,8
Sofia Coppola,The White Ribbon,9
Sofia Coppola,The Zone of Interest,10
Brian Cox,American Utopia,1
Brian Cox,Eternal Sunshine of the Spotless Mind,2
Brian Cox,Leviathan,3
Brian Cox,Million Dollar Baby,4
Brian Cox,Mulholland Drive,5
Brian Cox,No Country for Old Men,6
Brian Cox,The Grand Budapest Hotel,7
Brian Cox,The Lives of Others,8
Brian Cox,The Shape of Water,9
Brian Cox,The White Ribbon,10
Lena Dunham,Fish Tank,1
Lena Dunham,Funny People,2
Lena Dunham,Let the Right One In,3
Lena Dunham,Mulholland Drive,4
Lena Dunham,Mustang,5
Lena Dunham,Portrait of a Lady on Fire,6
Lena Dunham,Shame,7
Lena Dunham,The Broken Circle Breakdown,8
Lena Dunham,The Souvenir,9
Lena Dunham,The Worst Person in the World,10
Ava DuVernay,Bal,1
Ava DuVernay,Brokeback Mountain,2
Ava DuVernay,Children of Men,3
Ava DuVernay,In the Mood for Love,4
Ava DuVernay,Lumumba,5
Ava DuVernay,Shoplifters,6
Ava DuVernay,Teza,7
Ava DuVernay,The Turin Horse,8
Ava DuVernay,Time,9
Ava DuVernay,Zero Dark Thirty,10
Robert Eggers,Beau travail,1
Robert Eggers,Burning,2
Robert Eggers,Eternal Sunshine of the Spotless Mind,3
Robert Eggers,Hard to Be a God,4
Robert Eggers,Mr. Turner,5
Robert Eggers,Mulholland Drive,6
Robert Eggers,Son of Saul,7
Robert Eggers,The Piano Teacher,8
Robert Eggers,The Turin Horse,9
Robert Eggers,There Will Be Blood,10
Alden Ehrenreich,A Separation,1
Alden Ehrenreich,A Serious Man,2
Alden Ehrenreich,Boyhood,3
Alden Ehrenreich,Gett: The Trial of Viviane Amsalem,4
Alden Ehrenreich,Krisha,5
Alden Ehrenreich,Moonlight,6
Alden Ehrenreich,The Royal Tenenbaums,7
Alden Ehrenreich,The Worst Person in the World,8
Alden Ehrenreich,WALL·E,9
Alden Ehrenreich,You Can Count on Me,10
Chiwetel Ejiofor,12 Years a Slave,1
Chiwetel Ejiofor,Citizenfour,2
Chiwetel Ejiofor,City of God,3
Chiwetel Ejiofor,I Am Not Your Negro,4
Chiwetel Ejiofor,Man on Wire,5
Chiwetel Ejiofor,Searching for Sugar Man,6
Chiwetel Ejiofor,The Act of Killing,7
Chiwetel Ejiofor,The Diving Bell and the Butterfly,8
Chiwetel Ejiofor,Under The Skin,9
Chiwetel Ejiofor,Waltz with Bashir,10
Brett Goldstein,45 Years,1
Brett Goldstein,Bridesmaids,2
Brett Goldstein,If Beale Street Could Talk,3
Brett Goldstein,Inside Out,4
Brett Goldstein,Never Rarely Sometimes Always,5
Brett Goldstein,Pan's Labyrinth,6
Brett Goldstein,Sexy Beast,7
Brett Goldstein,Shoplifters,8
Brett Goldstein,The Florida Project,9
Brett Goldstein,The Virgin Suicides,10
Luca Guadagnino,A History of Violence,1
Luca Guadagnino,Fat Girl,2
Luca Guadagnino,Ghosts of Mars,3
Luca Guadagnino,In the Mood for Love,4
Luca Guadagnino,Little Girl,5
Luca Guadagnino,Me and You,6
Luca Guadagnino,Millennium Mambo,7
Luca Guadagnino,Redacted,8
Luca Guadagnino,Sex Is Comedy,9
Luca Guadagnino,Teza,10
Bryce Dallas Howard,Amélie,1
Bryce Dallas Howard,Children of Men,2
Bryce Dallas Howard,Eternal Sunshine of the Spotless Mind,3
Bryce Dallas Howard,Get Out,4
Bryce Dallas Howard,Her,5
Bryce Dallas Howard,Inside Out,6
Bryce Dallas Howard,Portrait of a Lady on Fire,7
Bryce Dallas Howard,Spirited Away,8
Bryce Dallas Howard,The Florida Project,9
Bryce Dallas Howard,The Grand Budapest Hotel,10
Barry Jenkins,Caché,1
Barry Jenkins,Elephant,2
Barry Jenkins,Nickel Boys,3
Barry Jenkins,Once Upon a Time in Anatolia,4
Barry Jenkins,Punch-Drunk Love,5
Barry Jenkins,Saint Omer,6
Barry Jenkins,"Synecdoche, New York",7
Barry Jenkins,The Holy Girl,8
Barry Jenkins,Vortex,9
Barry Jenkins,Zodiac,10
Stephen King,Black Hawk Down,1
Stephen King,Brokeback Mountain,2
Stephen King,Children of Men,3
Stephen King,Million Dollar Baby,4
Stephen King,No Country for Old Men,5
Stephen King,"O Brother, Where Art Thou?",6
Stephen King,Oppenheimer,7
Stephen King,The Departed,8
Stephen King,The Rule of Jenny Pen,9
Stephen King,Train to Busan,10
David Krumholtz,Anchorman: The Legend of Ron Burgundy,1
David Krumholtz,City of God,2
